date,open,high,low,close,volume,dividend,split
2019-04-22,397.43,398.6,392.06,393.31,704323,0.0,1.0
2019-04-23,393.12,398.9195,392.465,395.66,906132,0.0,1.0
2019-04-24,396.75,400.93,394.46,396.71,802482,0.0,1.0
2019-04-25,380.43,382.2,367.1208,380.0,2223077,0.0,1.0
2019-04-26,380.63,381.01,374.03,379.96,1097587,0.0,1.0
2019-04-29,380.95,383.77,373.35,375.0,771787,0.0,1.0
2019-04-30,373.72,378.88,370.5,378.57,803286,0.0,1.0
2019-05-01,377.69,381.8,373.28,373.55,651110,0.0,1.0
2019-05-02,373.0,381.605,372.2,381.03,722759,0.0,1.0
2019-05-03,382.37,383.11,375.48,375.79,672128,0.0,1.0
2019-05-06,372.49,377.06,370.5,375.76,599095,0.0,1.0
2019-05-07,373.12,375.7102,366.61,368.87,590838,0.0,1.0
2019-05-08,368.28,370.35,364.65,367.77,676893,0.0,1.0
2019-05-09,364.38,367.83,361.66,367.39,716001,0.0,1.0
2019-05-10,365.55,368.62,358.54,364.79,747648,0.0,1.0
2019-05-13,360.66,361.46,353.91,354.85,749527,0.0,1.0
2019-05-14,355.03,355.42,349.71,353.81,819712,0.0,1.0
2019-05-15,352.78,356.1,351.97,353.4,814444,0.0,1.0
2019-05-16,353.8,356.66,351.17,352.57,646953,0.0,1.0
2019-05-17,351.44,357.895,350.3625,353.02,606355,0.0,1.0
2019-05-20,350.58,355.76,349.84,353.99,562522,0.0,1.0
2019-05-21,356.31,363.795,356.31,362.64,869876,0.0,1.0
2019-05-22,360.97,369.82,360.1,368.62,929840,0.0,1.0
2019-05-23,365.18,367.9,362.12,366.14,705663,0.0,1.0
2019-05-24,368.49,372.33,362.24,366.85,671792,0.0,1.0
2019-05-28,368.67,376.28,368.58,369.3,774065,0.0,1.0
2019-05-29,368.2,370.49,363.44,367.13,611470,0.0,1.0
2019-05-30,368.57,373.14,366.44,372.31,441809,0.0,1.0
2019-05-31,368.85,372.16,366.29,371.37,549200,0.0,1.0
2019-06-03,371.49,378.58,367.64,374.22,802031,0.0,1.0
2019-06-04,377.97,380.59,372.95,374.9,687917,0.0,1.0
2019-06-05,375.34,381.5089,374.17,379.89,504875,0.0,1.0
2019-06-06,379.46,383.57,378.815,381.05,456524,0.0,1.0
2019-06-07,383.17,385.18,381.39,382.26,462887,0.0,1.0
2019-06-10,382.87,387.64,382.87,385.03,361778,0.0,1.0
2019-06-11,387.55,387.59,380.11,381.0,455691,0.0,1.0
2019-06-12,381.25,385.43,380.17,384.71,292122,0.0,1.0
2019-06-13,386.55,389.81,385.13,387.57,282366,0.0,1.0
2019-06-14,389.6,390.0998,386.17,387.96,448390,0.0,1.0
2019-06-17,389.18,391.15,383.28,383.85,641171,0.0,1.0
2019-06-18,384.77,387.68,382.54,385.33,620410,0.0,1.0
2019-06-19,384.65,385.25,369.241,378.99,695308,0.0,1.0
2019-06-20,382.02,383.77,373.0201,375.87,640329,0.0,1.0
2019-06-21,375.58,378.52,373.21,376.27,863400,0.0,1.0
2019-06-24,376.16,377.93,373.6,375.49,387033,0.0,1.0
2019-06-25,375.49,375.73,371.63,374.46,473092,0.0,1.0
2019-06-26,369.1,373.15,367.85,368.19,531807,0.0,1.0
2019-06-27,365.53,370.85,364.08,367.57,533013,0.0,1.0
2019-06-28,367.57,371.21,367.0272,369.32,615706,0.0,1.0
2019-07-01,373.0,376.8,371.1,374.34,524248,0.0,1.0
2019-07-02,374.39,386.215,374.39,383.09,635933,0.0,1.0
2019-07-03,383.0,387.67,382.09,386.22,436705,0.0,1.0
2019-07-05,385.79,387.49,383.35,386.04,325637,0.0,1.0
2019-07-08,385.51,390.45,385.15,386.27,433526,0.0,1.0
2019-07-09,386.13,388.972,384.11,385.21,466030,0.0,1.0
2019-07-10,388.0,389.93,384.33,389.2,559219,0.0,1.0
2019-07-11,390.81,395.85,386.55,393.47,515518,0.0,1.0
2019-07-12,395.46,403.63,394.55,401.83,514861,0.0,1.0
2019-07-15,403.46,403.89,399.13,403.23,339543,0.0,1.0
2019-07-16,403.22,407.03,402.57,405.55,512289,0.0,1.0
2019-07-17,405.58,407.2,398.81,399.64,504488,0.0,1.0
2019-07-18,392.47,403.67,385.52,403.19,907009,0.0,1.0
2019-07-19,403.61,404.92,396.45,396.82,586579,0.0,1.0
2019-07-22,398.12,400.055,393.64,394.78,676014,0.0,1.0
2019-07-23,396.76,398.0,388.81,392.39,630268,0.0,1.0
2019-07-24,390.71,397.77,390.27,396.5,575888,0.0,1.0
2019-07-25,385.51,400.99,375.22,376.0,1568749,0.0,1.0
2019-07-26,375.7,385.39,374.7,383.79,553960,0.0,1.0
2019-07-29,383.55,390.535,383.41,389.82,666320,0.0,1.0
2019-07-30,388.62,389.11,382.89,383.35,432866,0.0,1.0
2019-07-31,382.11,385.53,375.55,380.76,646661,0.0,1.0
2019-08-01,380.86,381.71,372.28,374.8,823843,0.0,1.0
2019-08-02,375.04,375.6002,368.0,369.93,678785,0.0,1.0
2019-08-05,366.41,366.99,359.855,363.62,792799,0.0,1.0
2019-08-06,366.67,375.18,362.5,373.56,728035,0.0,1.0
2019-08-07,369.37,376.57,368.0,375.84,695947,0.0,1.0
2019-08-08,377.04,382.3,375.55,381.59,538651,0.0,1.0
2019-08-09,382.1,384.74,375.43,378.31,542947,0.0,1.0
2019-08-12,376.75,377.99,368.78,370.84,863910,0.0,1.0
2019-08-13,367.81,381.27,364.58,373.54,842007,0.0,1.0
2019-08-14,368.5,374.365,366.64,369.43,782474,0.0,1.0
2019-08-15,371.77,378.9965,369.24,375.43,483700,0.0,1.0
2019-08-16,378.93,382.66,378.38,381.64,506369,0.0,1.0
2019-08-19,384.63,387.57,380.8655,385.77,560007,0.0,1.0
2019-08-20,386.66,389.845,382.78,383.24,505704,0.0,1.0
2019-08-21,388.02,388.735,382.385,384.0,385223,0.0,1.0
2019-08-22,385.36,386.5,380.06,382.18,434190,0.0,1.0
2019-08-23,379.36,383.21,375.95,377.34,486319,0.0,1.0
2019-08-26,378.43,380.87,375.0201,378.65,445396,0.0,1.0
2019-08-27,380.98,382.29,376.72,376.92,613931,0.0,1.0
2019-08-28,375.66,385.4,375.0,383.72,409845,0.0,1.0
2019-08-29,388.0,390.01,384.865,385.44,468224,0.0,1.0
2019-08-30,387.7,388.04,382.985,383.76,421079,0.0,1.0
2019-09-03,380.0,385.63,380.0,383.86,354535,0.0,1.0
2019-09-04,387.36,389.13,381.97,388.61,420265,0.0,1.0
2019-09-05,391.96,399.45,391.5,396.58,500158,0.0,1.0
2019-09-06,398.47,403.75,398.12,399.73,417748,0.0,1.0
2019-09-09,401.24,403.0,398.68,402.62,548488,0.0,1.0
2019-09-10,402.05,409.17,398.03,407.68,698822,0.0,1.0
2019-09-11,407.72,408.85,402.27,404.77,440716,0.0,1.0
2019-09-12,406.0,407.485,393.73,393.9,599693,0.0,1.0
2019-09-13,391.0,394.655,389.56,390.85,636455,0.0,1.0
2019-09-16,389.86,391.53,379.87,380.44,626150,0.0,1.0
2019-09-17,379.49,391.77,378.24,391.57,614272,0.0,1.0
2019-09-18,392.23,395.59,385.8,390.49,439751,0.0,1.0
2019-09-19,390.49,396.83,389.17,389.93,470087,0.0,1.0
2019-09-20,392.8,403.5,391.57,398.86,1289430,0.0,1.0
2019-09-23,397.14,403.65,397.14,397.88,669820,0.0,1.0
2019-09-24,399.79,404.17,391.98,394.67,562615,0.0,1.0
2019-09-25,395.18,396.06,391.57,394.78,414747,0.0,1.0
2019-09-26,394.27,397.99,391.95,396.16,278088,0.0,1.0
2019-09-27,397.69,399.5,392.14,394.48,269350,0.0,1.0
2019-09-30,394.77,400.24,394.77,398.51,405451,0.0,1.0
2019-10-01,400.04,402.57,398.72,400.67,399591,0.0,1.0
2019-10-02,398.66,399.415,387.015,390.44,553824,0.0,1.0
2019-10-03,391.0,391.8,385.01,387.35,334393,0.0,1.0
2019-10-04,387.41,390.88,385.51,390.62,325311,0.0,1.0
2019-10-07,390.04,392.38,387.86,388.95,280051,0.0,1.0
2019-10-08,385.4,390.43,383.77,387.63,403984,0.0,1.0
2019-10-09,391.35,396.84,389.85,395.33,341968,0.0,1.0
2019-10-10,393.73,399.49,390.98,398.8,257851,0.0,1.0
2019-10-11,401.65,405.75,400.19,401.35,291539,0.0,1.0
2019-10-14,401.21,402.78,399.73,401.39,271834,0.0,1.0
2019-10-15,401.66,405.32,400.0,403.75,451073,0.0,1.0
2019-10-16,402.49,410.1,401.41,407.75,461843,0.0,1.0
2019-10-17,407.32,409.67,403.125,407.17,435231,0.0,1.0
2019-10-18,404.97,404.97,401.36,403.2,457919,0.0,1.0
2019-10-21,406.35,407.4,400.225,402.47,464210,0.0,1.0
2019-10-22,402.9,405.06,400.15,400.4,436803,0.0,1.0
2019-10-23,400.0,402.05,397.14,400.53,657887,0.0,1.0
2019-10-24,420.0,442.1493,420.0,437.3,1612329,0.0,1.0
2019-10-25,436.82,446.78,436.02,438.54,910512,0.0,1.0
2019-10-28,438.53,445.14,438.35,442.19,594321,0.0,1.0
2019-10-29,438.36,440.875,434.27,434.35,469594,0.0,1.0
2019-10-30,434.75,438.62,433.46,436.69,466689,0.0,1.0
2019-10-31,437.25,437.66,431.19,435.51,383181,0.0,1.0
2019-11-01,437.93,440.07,435.98,437.01,447278,0.0,1.0
2019-11-04,438.91,439.71,433.58,436.49,439779,0.0,1.0
2019-11-05,435.86,439.86,433.0,433.72,458084,0.0,1.0
2019-11-06,435.02,441.98,432.185,440.83,533919,0.0,1.0
2019-11-07,443.1,444.4,438.36,440.26,383458,0.0,1.0
2019-11-08,439.24,441.57,436.8,439.23,256434,0.0,1.0
2019-11-11,437.01,440.8533,436.8,439.95,272344,0.0,1.0
2019-11-12,438.15,442.315,436.2,439.91,416665,0.0,1.0
2019-11-13,439.89,443.31,436.73,441.64,256867,0.0,1.0
2019-11-14,442.36,443.83,439.36,443.19,241933,0.0,1.0
2019-11-15,445.37,445.37,440.585,445.23,414335,0.0,1.0
2019-11-18,446.03,454.31,445.87,449.89,488164,0.0,1.0
2019-11-19,451.37,453.985,444.22,444.57,415551,0.0,1.0
2019-11-20,444.47,447.67,436.7,438.7,640148,0.0,1.0
2019-11-21,436.91,441.35,433.37,434.94,429192,0.0,1.0
2019-11-22,437.58,438.46,434.2653,438.26,533893,0.0,1.0
2019-11-25,439.19,441.12,437.24,438.0,320244,0.0,1.0
2019-11-26,439.27,443.435,439.12,442.28,516215,0.0,1.0
2019-11-27,442.57,446.74,441.57,445.66,263330,0.0,1.0
2019-11-29,438.0035,447.7,438.0035,442.28,241407,0.0,1.0
2019-12-02,443.38,447.45,441.01,446.36,334657,0.0,1.0
2019-12-03,444.2,444.88,434.5,438.64,556140,0.0,1.0
2019-12-04,438.08,443.65,435.505,442.09,393328,0.0,1.0
2019-12-05,442.25,443.145,439.32,441.04,351196,0.0,1.0
2019-12-06,444.13,447.21,442.03,445.57,335859,0.0,1.0
2019-12-09,441.3,444.31,437.605,439.73,385026,0.0,1.0
2019-12-10,448.1,448.1,441.26,441.9,518888,0.0,1.0
2019-12-11,439.47,444.8,439.25,444.65,422545,0.0,1.0
2019-12-12,444.46,448.5312,440.98,441.2,380462,0.0,1.0
2019-12-13,438.56,442.56,436.71,441.35,474475,0.0,1.0
2019-12-16,443.65,445.82,440.42,440.52,563747,0.0,1.0
2019-12-17,441.21,446.38,441.21,443.7,458870,0.0,1.0
2019-12-18,443.69,444.296,439.71,440.54,534488,0.0,1.0
2019-12-19,435.47,444.16,433.63,442.65,479878,0.0,1.0
2019-12-20,445.66,446.395,439.26,441.16,890905,0.0,1.0
2019-12-23,441.86,442.5,435.5,437.41,362150,0.0,1.0
2019-12-24,435.9,439.84,435.9,439.83,127853,0.0,1.0
2019-12-26,440.72,442.04,436.53,439.09,242171,0.0,1.0
2019-12-27,439.65,440.9999,436.05,437.21,256726,0.0,1.0
2019-12-30,437.36,439.26,435.425,437.51,297782,0.0,1.0
2019-12-31,437.76,440.165,435.97,438.26,390510,0.0,1.0
2020-01-02,438.5,439.06,434.44,437.52,796135,0.0,1.0
2020-01-03,435.81,439.22,433.04,438.75,482933,0.0,1.0
2020-01-06,437.03,437.03,429.22,434.66,837203,0.0,1.0
2020-01-07,433.94,434.51,425.28,428.77,661464,0.0,1.0
2020-01-08,428.87,437.57,428.87,431.9,479511,0.0,1.0
2020-01-09,434.99,439.54,433.45,437.37,561231,0.0,1.0
2020-01-10,437.88,438.39,434.9,436.85,569414,0.0,1.0
2020-01-13,436.63,437.84,433.07,435.5,561988,0.0,1.0
2020-01-14,434.16,438.79,432.5,438.51,432780,0.0,1.0
2020-01-15,436.87,440.34,436.78,438.15,349056,0.0,1.0
2020-01-16,439.9,443.99,438.45,441.07,875646,0.0,1.0
2020-01-17,442.68,442.8,436.16,440.68,606910,0.0,1.0
2020-01-21,439.92,446.83,439.81,440.6,620851,0.0,1.0
2020-01-22,441.18,443.855,433.52,435.71,754166,0.0,1.0
2020-01-23,432.74,436.91,430.89,436.05,685440,0.0,1.0
2020-01-24,437.46,439.12,429.71,430.77,374899,0.0,1.0
2020-01-27,425.88,428.845,425.88,426.81,448295,0.0,1.0
2020-01-28,427.35,429.84,425.59,428.06,457051,0.0,1.0
2020-01-29,427.7,429.525,423.895,424.13,368292,0.0,1.0
2020-01-30,420.7,420.79,417.0,419.88,623756,0.0,1.0
2020-01-31,415.28,417.95,405.0,406.1,1275130,0.0,1.0
2020-02-03,407.84,412.07,405.87,406.23,775083,0.0,1.0
2020-02-04,409.78,415.96,407.47,407.59,666594,0.0,1.0
2020-02-05,410.53,421.71,410.27,419.21,938030,0.0,1.0
2020-02-06,404.28,412.49,388.425,398.13,2185400,0.0,1.0
2020-02-07,396.28,397.49,386.18,387.69,1187935,0.0,1.0
2020-02-10,385.33,392.0,385.33,391.31,845676,0.0,1.0
2020-02-11,388.13,394.33,387.77,389.76,1255384,0.0,1.0
2020-02-12,391.19,393.26,389.325,392.47,840814,0.0,1.0
2020-02-13,391.84,396.23,391.84,392.6,723684,0.0,1.0
2020-02-14,393.59,396.01,389.77,390.89,899016,0.0,1.0
2020-02-18,393.23,399.36,391.3101,395.99,1095345,0.0,1.0
2020-02-19,394.96,398.1057,390.5,392.15,781890,0.0,1.0
2020-02-20,391.15,395.72,388.69,395.18,1095985,0.0,1.0
2020-02-21,393.3,394.21,389.37,391.5,641950,0.0,1.0
2020-02-24,386.15,391.29,385.48,387.77,758248,0.0,1.0
2020-02-25,389.71,390.9,376.75,377.35,1005763,0.0,1.0
2020-02-26,379.5,384.21,376.72,377.69,807259,0.0,1.0
2020-02-27,371.24,380.93,370.0643,370.47,1110173,0.0,1.0
2020-02-28,360.91,372.5,358.87,368.72,1691766,0.0,1.0
2020-03-02,367.01,378.39,364.45,378.39,1222661,0.0,1.0
2020-03-03,368.43,380.48,362.25,364.17,1406887,0.0,1.0
2020-03-04,368.02,377.5,363.62,377.2,734271,0.0,1.0
2020-03-05,368.87,371.9436,358.45,361.33,810218,0.0,1.0
2020-03-06,354.03,369.57,352.235,368.08,1175820,0.0,1.0
2020-03-09,358.56,380.0,355.0001,373.63,1476898,0.0,1.0
2020-03-10,381.68,394.55,381.13,393.52,1284193,0.0,1.0
2020-03-11,385.51,387.47,370.99,374.35,1231726,0.0,1.0
2020-03-12,359.89,361.66,330.24,330.29,1616601,0.0,1.0
2020-03-13,344.0,354.92,328.71,354.3,952464,0.0,1.0
2020-03-16,325.72,336.0017,298.5301,299.65,1148834,0.0,1.0
2020-03-17,307.18,331.29,301.89,327.54,1111332,0.0,1.0
2020-03-18,291.21,312.48,274.94,293.72,1186746,0.0,1.0
2020-03-19,291.27,306.32,277.36,290.53,936826,0.0,1.0
2020-03-20,290.73,291.5317,261.0,263.77,1104414,0.0,1.0
2020-03-23,255.85,270.8394,251.515,260.92,1900602,0.0,1.0
2020-03-24,272.27,294.99,271.0,277.13,2921616,0.0,1.0
2020-03-25,279.51,314.735,274.93,298.92,2171775,0.0,1.0
2020-03-26,300.0,329.0,300.0,326.74,1602250,0.0,1.0
2020-03-27,315.1,325.52,307.2171,313.43,902908,0.0,1.0
2020-03-30,315.25,320.85,306.56,318.19,760135,0.0,1.0
2020-03-31,309.81,313.61,299.37,301.05,1101242,0.0,1.0
2020-04-01,288.42,300.97,283.59,287.25,1184769,0.0,1.0
2020-04-02,288.94,303.94,288.94,303.49,1139439,0.0,1.0
2020-04-03,300.97,302.97,289.31,295.38,1019714,0.0,1.0
2020-04-06,311.37,337.8,309.485,333.43,1115431,0.0,1.0
2020-04-07,345.0,348.97,329.19,336.27,940684,0.0,1.0
2020-04-08,338.55,353.855,336.3,340.03,1002325,0.0,1.0
2020-04-09,342.95,351.96,338.25,342.44,867092,0.0,1.0
2020-04-13,341.28,348.94,332.16,347.92,485191,0.0,1.0
2020-04-14,352.98,362.94,352.98,356.35,643816,0.0,1.0
2020-04-15,347.0,356.0,344.5,353.89,467737,0.0,1.0
2020-04-16,361.77,374.935,357.0,367.68,976624,0.0,1.0
2020-04-17,377.73,385.545,365.59,373.51,669334,0.0,1.0
2020-04-20,368.39,376.55,365.04,373.66,737731,0.0,1.0
2020-04-21,368.37,373.55,357.62,358.3,1031796,0.0,1.0
2020-04-22,362.51,371.0,361.01,368.26,997704,0.0,1.0
2020-04-23,386.45,389.59,366.18,374.53,1589812,0.0,1.0
2020-04-24,381.98,390.04,375.865,384.82,699759,0.0,1.0
2020-04-27,385.92,394.65,384.835,389.5,589453,0.0,1.0
2020-04-28,398.59,399.99,383.64,384.5,919998,0.0,1.0
2020-04-29,390.9,394.5,387.19,391.02,556460,0.0,1.0
2020-04-30,387.19,389.52,382.845,386.34,568045,0.0,1.0
2020-05-01,379.39,382.33,373.57,376.37,559159,0.0,1.0
2020-05-04,374.74,388.79,373.14,388.21,577739,0.0,1.0
2020-05-05,390.0,395.41,388.52,390.38,540916,0.0,1.0
2020-05-06,394.03,402.95,388.4956,397.76,885544,0.0,1.0
2020-05-07,401.0,407.0,384.76,386.45,810160,0.0,1.0
2020-05-08,394.13,405.35,393.51,402.51,641381,0.0,1.0
2020-05-11,396.53,402.21,394.36,398.9,515257,0.0,1.0
2020-05-12,397.75,400.94,393.76,394.31,498814,0.0,1.0
2020-05-13,392.43,398.97,385.13,389.89,741375,0.0,1.0
2020-05-14,386.66,398.93,377.2678,398.6,587925,0.0,1.0
2020-05-15,394.75,408.17,392.07,407.12,969318,0.0,1.0
2020-05-18,416.3,423.31,408.84,409.89,953188,0.0,1.0
2020-05-19,410.0,417.0,405.95,409.78,671236,0.0,1.0
2020-05-20,410.0,413.92,403.25,407.11,592352,0.0,1.0
2020-05-21,407.88,411.37,400.02,404.28,456746,0.0,1.0
2020-05-22,403.33,405.4,398.5,404.99,449679,0.0,1.0
2020-05-26,413.08,416.1875,397.69,399.12,851046,0.0,1.0
2020-05-27,402.96,416.29,401.95,415.28,699718,0.0,1.0
2020-05-28,415.0,417.79,411.29,413.13,452879,0.0,1.0
2020-05-29,414.82,418.9,411.95,417.24,562668,0.0,1.0
2020-06-01,418.95,422.76,415.81,417.6,505836,0.0,1.0
2020-06-02,420.39,422.5,417.26,419.74,524197,0.0,1.0
2020-06-03,419.93,425.82,417.69,420.95,478138,0.0,1.0
2020-06-04,420.07,421.72,410.8,413.85,369521,0.0,1.0
2020-06-05,417.9,423.645,414.38,422.7,554207,0.0,1.0
2020-06-08,419.71,425.46,417.63,419.73,500776,0.0,1.0
2020-06-09,417.33,424.0,416.21,423.24,741953,0.0,1.0
2020-06-10,422.71,423.81,415.72,416.48,499186,0.0,1.0
2020-06-11,410.98,418.17,408.8,408.92,579885,0.0,1.0
2020-06-12,415.0,415.61,401.65,410.35,617344,0.0,1.0
2020-06-15,403.35,418.38,403.0,415.71,445419,0.0,1.0
2020-06-16,426.99,428.9,415.65,426.25,676183,0.0,1.0
2020-06-17,427.47,432.0,423.7,426.33,774768,0.0,1.0
2020-06-18,425.11,427.33,421.51,425.94,387729,0.0,1.0
2020-06-19,430.63,430.73,418.96,422.18,860491,0.0,1.0
2020-06-22,421.78,432.3,419.44,430.91,559983,0.0,1.0
2020-06-23,432.97,434.37,426.42,427.48,629137,0.0,1.0
2020-06-24,425.0,428.86,412.55,413.92,572471,0.0,1.0
2020-06-25,413.22,417.965,409.17,417.6,503541,0.0,1.0
2020-06-26,420.73,424.425,411.78,415.47,1299249,0.0,1.0
2020-06-29,419.89,422.75,414.31,422.39,398100,0.0,1.0
2020-06-30,419.76,424.55,415.28,421.67,605200,0.0,1.0
2020-07-01,419.94,427.66,416.13,426.08,532500,0.0,1.0
2020-07-02,430.64,432.19,424.83,427.85,456900,0.0,1.0
2020-07-06,432.8,433.74,423.52,425.84,503700,0.0,1.0
2020-07-07,424.9,428.5,422.09,422.17,597500,0.0,1.0
2020-07-08,421.37,424.09,414.68,420.49,640500,0.0,1.0
2020-07-09,420.58,422.0,414.5,419.41,385500,0.0,1.0
2020-07-10,418.38,421.02,413.0,420.76,475900,0.0,1.0
2020-07-13,423.36,429.25,418.24,419.79,561300,0.0,1.0
2020-07-14,417.41,429.44,417.26,427.9,360800,0.0,1.0
2020-07-15,430.48,435.2,427.3,432.93,370400,0.0,1.0
2020-07-16,431.49,435.0,429.11,431.67,400800,0.0,1.0
2020-07-17,435.05,435.05,429.0,431.74,377700,0.0,1.0
2020-07-20,437.93,442.63,430.7,438.17,634765,0.0,1.0
2020-07-21,439.89,448.56,439.89,446.47,557198,0.0,1.0
2020-07-22,447.82,454.465,447.82,450.77,428595,0.0,1.0
2020-07-23,451.05,463.02,444.105,447.85,660951,0.0,1.0
2020-07-24,446.04,451.23,442.15,442.34,812877,0.0,1.0
2020-07-27,443.71,451.855,443.62,450.45,897861,0.0,1.0
2020-07-28,456.39,458.68,449.66,450.05,607877,0.0,1.0
2020-07-29,450.77,458.91,448.36,455.77,820828,0.0,1.0
2020-07-30,480.0,487.95,470.3,480.52,1524590,0.0,1.0
2020-07-31,479.31,481.12,471.25,477.38,656013,0.0,1.0
2020-08-03,479.61,480.695,471.01,473.79,560641,0.0,1.0
2020-08-04,470.01,476.5273,467.0418,472.88,557965,0.0,1.0
2020-08-05,474.72,475.6747,466.59,468.53,412223,0.0,1.0
2020-08-06,466.85,470.62,463.32,466.07,526423,0.0,1.0
2020-08-07,463.21,469.73,462.69,465.18,454243,0.0,1.0
2020-08-10,465.0,468.88,459.7,461.15,424725,0.0,1.0
2020-08-11,463.31,463.31,452.525,454.02,708419,0.0,1.0
2020-08-12,456.27,466.4,456.27,463.51,454003,0.0,1.0
2020-08-13,461.0,466.725,459.08,461.34,358403,0.0,1.0
2020-08-14,461.1,466.65,461.0,463.55,338001,0.0,1.0
2020-08-17,464.0,471.0,463.98,469.46,373443,0.0,1.0
2020-08-18,475.0,477.22,465.915,470.1,516941,0.0,1.0
2020-08-19,470.01,473.2299,464.8519,466.06,516173,0.0,1.0
2020-08-20,462.51,467.305,461.09,461.99,533158,0.0,1.0
2020-08-21,460.88,463.31,458.01,460.33,504197,0.0,1.0
2020-08-24,462.76,465.19,460.625,463.91,440227,0.0,1.0
2020-08-25,462.03,466.13,461.83,465.94,393697,0.0,1.0
2020-08-26,462.85,468.13,461.9,462.7,327849,0.0,1.0
2020-08-27,466.89,467.45,461.39,462.58,331554,0.0,1.0
2020-08-28,462.32,465.87,458.94,462.95,379162,0.0,1.0
2020-08-31,461.99,468.55,459.99,465.63,508695,0.0,1.0
2020-09-01,467.35,474.63,464.01,473.2,461397,0.0,1.0
2020-09-02,473.36,484.53,472.77,482.62,488991,0.0,1.0
2020-09-03,482.61,484.995,468.71,471.95,585238,0.0,1.0
2020-09-04,471.73,475.91,463.63,471.01,479100,0.0,1.0
2020-09-08,468.47,477.4379,461.36,470.41,557319,0.0,1.0
2020-09-09,471.48,481.76,471.01,476.28,410118,0.0,1.0
2020-09-10,476.8,480.645,467.43,469.27,367531,0.0,1.0
2020-09-11,473.08,476.04,469.63,474.65,334637,0.0,1.0
2020-09-14,475.98,483.255,474.95,478.12,347791,0.0,1.0
2020-09-15,480.0,480.7,476.4,477.41,245326,0.0,1.0
2020-09-16,480.0,480.31,468.52,469.92,420776,0.0,1.0
2020-09-17,461.0,470.53,461.0,467.39,405461,0.0,1.0
2020-09-18,468.12,470.01,457.19,463.9,677894,0.0,1.0
2020-09-21,460.74,461.65,446.68,453.96,645704,0.0,1.0
2020-09-22,456.57,464.0,451.275,455.4,530456,0.0,1.0
2020-09-23,454.79,458.93,448.05,448.62,517806,0.0,1.0
2020-09-24,445.03,447.155,437.57,443.97,874133,0.0,1.0
2020-09-25,437.35,447.79,437.35,444.68,464782,0.0,1.0
2020-09-28,450.17,458.01,449.94,457.34,485676,0.0,1.0
2020-09-29,457.36,459.03,452.7,453.32,403185,0.0,1.0
2020-09-30,455.68,464.61,453.58,461.08,515821,0.0,1.0
2020-10-01,462.93,467.63,461.11,463.56,385486,0.0,1.0
2020-10-02,458.25,462.0,453.345,458.24,356181,0.0,1.0
2020-10-05,459.77,463.58,459.06,459.49,349943,0.0,1.0
2020-10-06,459.62,461.23,443.28,444.61,527971,0.0,1.0
2020-10-07,447.04,451.615,444.325,444.9,529945,0.0,1.0
2020-10-08,447.05,455.69,447.05,453.36,386609,0.0,1.0
2020-10-09,454.59,455.145,448.69,449.38,420788,0.0,1.0
2020-10-12,452.71,461.62,449.33,458.47,491381,0.0,1.0
2020-10-13,460.02,471.28,460.02,469.45,394854,0.0,1.0
2020-10-14,470.47,475.375,463.59,464.63,413097,0.0,1.0
2020-10-15,462.34,471.29,459.5025,469.5,350300,0.0,1.0
2020-10-16,468.72,471.51,463.345,467.01,462607,0.0,1.0
2020-10-19,471.67,475.325,462.02,463.75,472973,0.0,1.0
2020-10-20,467.19,474.55,464.19,469.42,426525,0.0,1.0
2020-10-21,469.02,474.19,465.57,466.0,351440,0.0,1.0
2020-10-22,464.51,466.86,456.87,457.13,449083,0.0,1.0
2020-10-23,462.28,467.57,454.76,466.43,375553,0.0,1.0
2020-10-26,460.25,462.5,449.81,455.96,429592,0.0,1.0
2020-10-27,456.77,460.43,449.8,450.22,532864,0.0,1.0
2020-10-28,446.9,448.59,439.67,442.39,629774,0.0,1.0
2020-10-29,440.0,447.51,435.44,436.33,798000,0.0,1.0
2020-10-30,431.26,438.475,431.26,436.6,710730,0.0,1.0
2020-11-02,442.71,450.59,434.96,441.46,557223,0.0,1.0
2020-11-03,444.98,454.58,444.98,449.05,530504,0.0,1.0
2020-11-04,456.41,459.33,449.77,450.46,515819,0.0,1.0
2020-11-05,455.24,460.47,448.18,450.11,611068,0.0,1.0
2020-11-06,452.79,452.79,442.09,448.51,519833,0.0,1.0
2020-11-09,460.12,470.46,454.65,455.04,677182,0.0,1.0
2020-11-10,450.97,465.815,450.52,456.58,517334,0.0,1.0
2020-11-11,459.82,468.66,456.92,463.38,486603,0.0,1.0
2020-11-12,462.5,465.39,452.18,456.83,447894,0.0,1.0
2020-11-13,457.17,462.75,457.05,461.65,357632,0.0,1.0
2020-11-16,463.84,466.02,457.34,461.23,365903,0.0,1.0
2020-11-17,456.98,460.11,449.46,450.33,493404,0.0,1.0
2020-11-18,449.31,461.515,446.76,454.53,444578,0.0,1.0
2020-11-19,451.77,453.66,447.11,451.39,377488,0.0,1.0
2020-11-20,451.23,452.885,445.8,446.78,377048,0.0,1.0
2020-11-23,447.87,448.95,439.69,442.09,526524,0.0,1.0
2020-11-24,449.04,457.04,446.165,449.04,670528,0.0,1.0
2020-11-25,449.0,449.98,438.93,444.14,601224,0.0,1.0
2020-11-27,446.22,451.11,442.25,443.15,305170,0.0,1.0
2020-11-30,442.0,444.715,435.26,442.44,614638,0.0,1.0
